short_id,dam_name,survey_yr1,survey_yr2
120924,Leavenworth State Lake Dam,1931,1947
120925,Neosho County State Park Dam,1927,1939
120926,Sheridan State Fishing Lake,1937,1948
120927,Ksnoname 1229,1940,1967
120928,Ksnoname 1760,1960,1972
120929,Ksnoname 1858,1960,1970
120930,Lake Elbo,1949,1965
120931,Frd No 13-12,1965,1977
120932,Frd No 41-A,1967,1977
120933,Dd No D-1 (Lost Creek),1954,1977
120934,Cedar Lake (Old Olathe Lake),1932,1949
120935,Lake Kahola,1936,1954
120936,Ksnoname 2579,1958,1970
120937,Katy Lake Dam,1913,1939
120938,Lake Dabinawa,1959,1974
120939,Ksnoname 3345,1957,1970
120940,Ksnoname 3546,1953,1966
120941,Ksnoname 5008,1951,1967
120942,Walker Dam,1948,1964
120943,Obion Creek FRS No 24,1960,1971
120944,Dix River Dam,1925,1941
120945,Upper Green River FRS No 5,1955,1971
120946,Rough River Dam,1959,1969
120947,Kentucky River Lock and Dam 4,1964,1975
120948,Kentucky Dam,1946,1961
120949,Ksnoname 763,1954,1970
120950,Mountain Street Reservoir Dam,1905,1951
120951,T. Howard Duckett Dam,1954,1964
120952,Little Deer Creek Site 1,1958,1972
120953,Upper Little River,1913,1969
120954,Lake Winona,1937,1950
120955,Brooklyn Dam,1948,1969
120956,Ford Manchester Dam,1945,1969
120957,Saline River Dam,1937,1969
120958,Manchester Mill Dam,1906,1969
120959,Bridgeway Lake Dam,1927,1969
120960,Lake Bronson,1940,1950
120961,Splitrock Lake,1938,1949
120962,Orwell Dam,1954,1970
120963,Mississippi River Lock and Dam 25,1939,1959
120964,Mississippi River Lock and Dam 20,1936,1950
120965,South Fork Blackwater River Dam A- 1,1964,1975
120966,Mcdaniel Lake Dam,1929,1940
120967,Bagnell,1931,1948
120968,Mountain Lake Dam,1927,1939
120969,Shepard Mountain Dam,1929,1939
120970,Clarence Cannon Dam,1987,2009
120971,Lafayette Lake Dam,1937,1951
120972,Grenada Dam,1953,1965
120973,Enid Dam,1951,1961
120974,Yellow Water Main Dam,1938,1948
120975,Walstom,1915,1955
